album,rank,feature,weight
"SOMA 0,5 mg",12,chcieli,0.17689239903704124
"SOMA 0,5 mg",13,uh,0.17477770978051982
"SOMA 0,5 mg",14,hajs,0.17469347968471968
"SOMA 0,5 mg",15,nigdy,0.17034055026815506
Szprycer,1,trzydzieści,0.3638087671727675
Szprycer,2,pięć,0.3239356999602191
Szprycer,3,żeby życie,0.31705523173784517
Szprycer,4,noc żeby,0.3145612639123808
Szprycer,5,mówiłem,0.294729391545805
Szprycer,6,coś,0.2863535203342807
Szprycer,7,ayy,0.27938673746837633
Szprycer,8,żeby,0.27933745425440826
Szprycer,9,pracowałem,0.26729847781401445
Szprycer,10,życie miało,0.25896913174851094
Szprycer,11,niby tlen,0.25531816613860875
Szprycer,12,kropla,0.2548307061030504
Szprycer,13,sali,0.25403358237772283
Szprycer,14,więc powiedz,0.25366522456392615
Szprycer,15,że coś,0.25310492248913397
Trójkąt Warszawski,1,mać,0.43384004283565686
Trójkąt Warszawski,2,szlugi,0.3625626835914478
Trójkąt Warszawski,3,precz,0.31212676113035365
Trójkąt Warszawski,4,były,0.31127473851983073
Trójkąt Warszawski,5,miasto pachnie,0.2829518118209703
Trójkąt Warszawski,6,komu,0.2821691416160778
Trójkąt Warszawski,7,kurwa mać,0.2766027308212727
Trójkąt Warszawski,8,łotr,0.27467322205804007
Trójkąt Warszawski,9,szlugi kalafiory,0.2686617646276551
Trójkąt Warszawski,10,kalafiory,0.2686617646276551
Trójkąt Warszawski,11,warszawski,0.2660624990893515
Trójkąt Warszawski,12,jak szlugi,0.26287946270624674
Trójkąt Warszawski,13,pachnie jak,0.2619971906082225
Trójkąt Warszawski,14,ma więc,0.26122980621382963
Trójkąt Warszawski,15,nam,0.25515193193670965
Umowa o dzieło,1,awizo,0.5086531765637975
Umowa o dzieło,2,sześć,0.4524687847436885
Umowa o dzieło,3,sześć zer,0.4424443430428844
Umowa o dzieło,4,zer,0.40155431431679295
Umowa o dzieło,5,wracam,0.33607944712811866
Umowa o dzieło,6,następna stacja,0.33414470891944004
Umowa o dzieło,7,stacja,0.33020330665895653
Umowa o dzieło,8,następna,0.3087451449781407
Umowa o dzieło,9,cieście,0.28532250760197964
Umowa o dzieło,10,noszę,0.279674217466705
Umowa o dzieło,11,tam gdzie,0.2668651942882772
Umowa o dzieło,12,mógłbym,0.26134443737029206
Umowa o dzieło,13,4822,0.24566574656919227
Umowa o dzieło,14,oczami,0.24463390944268354
Umowa o dzieło,15,kiedy za,0.2407165716375674
WOSK EP,1,biodra,0.6774045402447022
WOSK EP,2,whoa,0.5040100768816645
WOSK EP,3,wosk,0.49234702678915715
WOSK EP,4,znowu dziś,0.47255516032514144
WOSK EP,5,ugh,0.39609128705063373
WOSK EP,6,twoje biodra,0.3949642064032432
WOSK EP,7,świat,0.3276310525044957
WOSK EP,8,twoje,0.3027296843505715
WOSK EP,9,autem,0.2941390623627239
WOSK EP,10,pięć,0.28753577855372725
WOSK EP,11,wiatr,0.2859481791680968
WOSK EP,12,winyl,0.2787550430442961
WOSK EP,13,chcę jej,0.27865712529216297
WOSK EP,14,które nie,0.27468371198920677
WOSK EP,15,są jak,0.2744089498021142
Young Hems,1,the,0.6861749550238172
Young Hems,2,and,0.6469523201998401
Young Hems,3,your,0.585502745078282
Young Hems,4,you,0.5489663830460781
Young Hems,5,it,0.5481605156762464
Young Hems,6,in,0.5324237422613256
Young Hems,7,with,0.513402175263164
Young Hems,8,like,0.5029721940777163
Young Hems,9,fuck,0.4897415903740661
Young Hems,10,my,0.4849381977380479
Young Hems,11,is,0.46522530447857624
Young Hems,12,of,0.4369191138601371
Young Hems,13,that,0.4354670620343566
Young Hems,14,not,0.41411608538087075
Young Hems,15,fucking,0.40344844689662074
